FID,GEOID,FIPS,NAME,15TOTAL,OV65_Total15,20TOTAL,OVER65_20,25TOTAL,OVER65_25
129,0600000US0900553470,900553470,Norfolk town,1711,382,1699,476,1674,566
130,0600000US0900554030,900554030,North Canaan town,3330,682,3328,746,3320,835
131,0600000US0900560750,900560750,Plymouth town,12550,1907,12790,2411,12968,3015
132,0600000US0900565930,900565930,Roxbury town,2297,586,2314,716,2302,852
133,0600000US0900566420,900566420,Salisbury town,3619,1194,3452,1329,3233,1412
134,0600000US0900567960,900567960,Sharon town,2676,784,2536,908,2374,1012
135,0600000US0900575730,900575730,Thomaston town,8030,1275,8108,1539,8162,1950
136,0600000US0900576570,900576570,Torrington town,36936,6544,37392,7639,37683,9093
137,0600000US0900579510,900579510,Warren town,1540,375,1598,478,1635,554
138,0600000US0900579720,900579720,Washington town,3535,921,3439,1115,3298,1297
139,0600000US0900580490,900580490,Watertown town,22863,4432,23020,5257,23029,6263
140,0600000US0900586440,900586440,Winchester town,11503,2145,11693,2601,11813,3071
141,0600000US0900587910,900587910,Woodbury town,10234,2215,10393,2681,10493,3243
142,0600000US0900901220,900901220,Ansonia town,19714,2883,20169,3304,20571,3913
143,0600000US0900903250,900903250,Beacon Falls town,6376,1078,6648,1334,6879,1675
144,0600000US0900904580,900904580,Bethany town,5761,954,5909,1219,6040,1506
145,0600000US0900907310,900907310,Branford town,27764,6314,27346,7322,26718,8453
146,0600000US0900914160,900914160,Cheshire town,29275,4742,29122,5380,28930,6164
147,0600000US0900919550,900919550,Derby town,13239,2269,13580,2553,13855,2988
148,0600000US0900922910,900922910,East Haven town,29696,5817,30053,6589,30257,7470
149,0600000US0900934950,900934950,Guilford town,22481,4948,22426,5846,22167,6652
150,0600000US0900935650,900935650,Hamden town,63231,9969,65986,11179,68779,12606
151,0600000US0900944560,900944560,Madison town,18133,3979,18036,4442,17782,5120
152,0600000US0900946520,900946520,Meriden town,62067,8906,63141,10345,63925,12205
153,0600000US0900946940,900946940,Middlebury town,8049,1525,8475,1781,8910,2018
154,0600000US0900947535,900947535,Milford town,53062,10001,53039,11510,52658,13259
155,0600000US0900949950,900949950,Naugatuck town,32438,4532,32877,5319,33078,6452
156,0600000US0900952070,900952070,New Haven town,135175,13683,140446,15519,144711,17805
157,0600000US0900953890,900953890,North Branford town,14469,3025,14378,3594,14211,4084
158,0600000US0900954870,900954870,North Haven town,24579,5424,24965,6004,25307,6745
159,0600000US0900957600,900957600,Orange town,14242,2913,14450,3195,14680,3635
160,0600000US0900958300,900958300,Oxford town,13791,2515,14714,3349,15532,4139
161,0600000US0900962290,900962290,Prospect town,9659,1715,9866,2069,10057,2538
162,0600000US0900967610,900967610,Seymour town,17014,2742,17421,3195,17773,3935
163,0600000US0900969640,900969640,Southbury town,20277,5930,20479,6557,20652,7289
164,0600000US0900978740,900978740,Wallingford town,46033,8677,46699,10190,47104,11882
165,0600000US0900980070,900980070,Waterbury town,112736,15005,115126,16678,117146,19215
166,0600000US0900982870,900982870,West Haven town,56172,7840,56739,8866,57064,10312
167,0600000US0900987560,900987560,Wolcott town,17287,2907,17818,3407,18352,4147
168,0600000US0900987700,900987700,Woodbridge town,8906,1928,8819,2214,8670,2551
