"Department","Group","hr_c","hr_group","searches","hits","pval"
"Watertown","Non-caucasian or Hispanic",0.25,0.166666666666667,6,1,0.439
"West Hartford","Non-caucasian or Hispanic",0.475961538461538,0.41958041958042,286,120,0.002
"West Haven","Non-caucasian or Hispanic",0.238095238095238,0.152173913043478,46,7,0.137
"Westport","Non-caucasian or Hispanic",0.222222222222222,0.2,120,24,0.446
"Wethersfield","Non-caucasian or Hispanic",0.152173913043478,0.163157894736842,190,31,0.691
"Willimantic","Non-caucasian or Hispanic",0.357142857142857,0.271317829457364,129,35,0.055
"Wilton","Non-caucasian or Hispanic",0.8,0.666666666666667,6,4,0.121
"Windsor","Non-caucasian or Hispanic",0,0.25,4,1,0.248
"Windsor Locks","Non-caucasian or Hispanic",0,0.1,10,1,0.015
"Woodbridge","Non-caucasian or Hispanic",0.5,0.666666666666667,6,4,0.221
"Yale","Non-caucasian or Hispanic",0.5,0.363636363636364,22,8,0.531
